group_name,group_slug,n_user_recommend,last_recommended
TRUMP TRAIN 2020,778557289371709,1,2021-03-22
Trump Train 2020 Keeping America Great!!,788305088338890,1,2021-04-30
United Against Trump,750346772183672,1,2021-04-02
Trump We are alive,752376564940906,1,2021-03-21
Trash the trump,769031630334979,1,2021-04-05
Americans for Donald Trump,485735012401778,1,2021-05-16
TRUMPF,53594820892,1,2021-02-17
Americans For President Trump 2020,545386855629038,1,2021-05-06
Peaceful Protests for Trump,726274824654424,1,2021-04-06
We British support Donald Trump back to his presidency,718563328864847,1,2021-05-29
"Please, Spare Us, Mighty Trump Army!",720194245050965,1,2021-05-17
We The People For Trump !,321451444878035,1,2021-03-21
Support Trump,1325487214260641,1,2021-03-21
We Are Trump,3328003443962459,1,2021-03-22
Anti-Trump Activists,334327010872882,1,2021-04-27
🇺🇸🇺🇸 Illinois Trump Events 🇺🇸🇺🇸,335756230991917,1,2021-03-30
Pro-Choice Democrats Against Trump,339755586160515,1,2021-05-02
Trump Flag parade,323187505632113,1,2021-04-06
TRUMP IS KILLING THE U.S.A.,327607541578955,1,2021-03-31
Trumpsters Admin & Mods,3277730775576044,1,2021-03-22
Friends Who Like Donald J. Trump,328925080822864,1,2021-03-20
Resist and Reject Trump,2195872100637095,1,2021-04-06
TRUMP 2020 TEAM,219833361930180,1,2021-03-23
I Support President Donald Trump 2020!,220767975337140,1,2021-03-22
American Patriots for President Trump,1891106067780527,1,2021-02-26
Stand For TRUMP 2020,191717902088740,1,2021-03-23
sounds like something Donald Trump would tweet but ok,1850949331686270,1,2021-03-22
Donald Trump 2020,1862375700719367,1,2021-03-22
Anti trump Protest los angeles,1866877130207669,1,2021-03-23
TRUMP GEAR,186795382572923,1,2021-03-22
Trump resistance,197843787326747,1,2021-04-14
SHOW ME STATE FOR PRESIDENT  TRUMP 2020,199129597107848,1,2021-03-22
Trump Central at The Washington Times,1996686960591439,1,2021-05-20
Keeping Donald Trump out of office,199834697154656,1,2021-04-10
Donald Trump 2020,193547277722376,1,2021-04-01
sounds like something trump would tweet but ok,193772647886562,1,2021-03-17
People For Trump,334293180242213,1,2021-05-01
The Traitor Trump,1118905374957363,1,2021-05-09
Hội những người ủng hộ Tổng thống DONAL TRUMP,1140226656372661,1,2021-03-22
Give TRUMP a chance!,115386225610368,1,2021-03-23
Be the change.....(antitrump),1092534310872462,1,2021-03-25
Trump for President 2020,1094521347603521,1,2021-03-22
President Trump News,2061812100707511,1,2021-04-08
Trumpy Memes,211633076388133,1,2021-05-05
Prayers For Trump,2116701068652175,1,2021-03-21
We support Donald trump,2050594018286640,1,2021-04-20
trumps A Goner,205295679499402,1,2021-03-22
Trump Club,1793362527545229,1,2021-05-02
Trump on Trial - Costa Rica,1805224323066725,1,2021-05-31
Art Trumps Hate,1805756289667033,1,2021-05-23
Friends Who Like Donald J. Trump,180587405669147,1,2021-04-01
Real Trump Train,1779481815656420,1,2021-04-07
To Tromp Or Not To Trump That Is The Question,1828891703995292,1,2021-03-23
Friends Who Like Donald J. Trump,1830470040559071,1,2021-04-11
President Donald Trump [Support Group],1834379526576277,1,2021-03-22
THE OFFICAL PRESIDENT TRUMPS GROUP,158135714606665,1,2021-03-22
Truth trumps Loyalty,153480711361663,1,2021-03-22
Trump Worldwide news,157724207960353,1,2021-04-11
Trump's America,1306741192714634,1,2021-03-22
Donald J Trump support group,647585149100697,1,2021-05-19
Trump 360,393780061633991,1,2021-04-10
TRUMP SUPPORTERS,637132573480901,1,2021-04-02
JAIL TRUMP,327829224743556,1,2021-05-29
Anti Trump,107921686433200,1,2021-03-22
In Trump We Trust,1020952884663300,1,2021-03-21
Trump 2020,1036372456803136,1,2021-03-22
VETERANS FOR PRESIDENT DONALD J TRUMP 2016,veteransforpresidentdonaldtrump2016,1,2021-03-22
TRUMP 🇺🇸 for GOVERNOR of CALIFORNIA,trumpforca,1,2021-04-03
Trumping 2020,Trumping16,1,2021-03-22
Trump talk group,TrumpTalkGroup,1,2021-05-17
President Trump's Women In Action (C),TrumpWomenInAction,1,2021-02-26
President Trump,UndecidedVoters,1,2021-04-08
Support for Trump in 2020,SupportTrumpin2020,1,2021-03-23
Trump 2020,285802108841455,1,2021-04-01
Trump Train,2763129977349397,1,2021-05-18
Responsible Gun Owners Against Trump,277126092632019,1,2021-04-21
Donald Trump is my president,230241525352630,1,2021-05-08
ARREST TRUMP !!,2219970108300427,1,2021-03-23
We Love Trump,224746344951209,1,2021-03-21
Talk Trump,297090324152269,1,2021-03-22
Trump2020,2985642784888996,1,2021-05-23
Patriots for President Trump,300137853977488,1,2021-05-19
The Anti-Trump Movement,1056333214893457,1,2021-05-18
From the Desk of Donald J. Trump,128350395992721,1,2021-05-08
TRUMPENCE 2020  FASTING GROUP🎺 🔥,659511381403049,1,2021-03-25
THE PEOPLE'S INAUGURATION - PATRIOTS VS. TRUMPOCRACY,peoplesinauguration,1,2021-02-25
Trump Tweets that haven't aged well,976349462852648,1,2021-03-17
Boycott All Things tRump Owns & Supports,Shitrump,1,2021-03-29
Coalition Against Trump's Tyranny,CoalitionAgainstTrumpsTyranny,1,2021-05-19
North Americans for Donald Trump,canadiansfordonaldtrump,1,2021-05-11
GLAMOROUS WOMEN FOR TRUMP/PENCE,glamorouswomenfortrumpldf,1,2021-03-22
Boycott Trump,BoycottTrump,1,2021-05-02
Worldwide For Trump,worldwidefortrump,1,2021-03-16
President Donald Trump News,REALTRUMP,1,2021-03-26
Resist Trump: DMV and beyond,resisttrumpdmv,1,2021-04-08
Donald J Trump Building a Great World,DonaldJTrumpGreatWorld,1,2021-03-22
Americans for Donald Trump,DonaldTrumpAmerica,1,2021-04-27
Make America Great Again - Donald Trump,DonaldTrumpGreatAmerica,1,2021-04-01
Fallacious Trump,fallacioustrump,1,2021-04-19
TRUMP DUMPERS,1685088994850593,1,2021-04-30
Trump Loves Me,1698851296850148,1,2021-03-21
Dump On Trump and Republicans,164738113600534,1,2021-03-22
Donald Trump Support Group,1655366304746138,1,2021-04-08
Trump not for 2020,1656348161248555,1,2021-03-23
Friends Who Like Donald J. Trump,1621778298124135,1,2021-03-17
Friends Who Like Donald J. Trump,1590478387935611,1,2021-04-05
Anti-Trump United (ATU) Chicago Area,160516251098488,1,2021-03-23
Trump 2024,trumpfor2024,1,2021-03-14
TRUMP 2020!!,Obamahasgottogo,1,2021-05-29
MI ASIAN AMERICANS FOR TRUMP,292573621669464,1,2021-03-28
TRUMP IS A BULLY AND CRYBABY,374802033097132,1,2021-03-18
Trump Republicans,375879907184593,1,2021-05-29
Donald Trump Poetry,376178872755554,1,2021-04-05
Donald Trump Supporters,384503482056597,1,2021-05-08
Occupy Democrats vs Trump Supporters,386107821782385,1,2021-04-11
Trumps lie list 2.0,3879488662123632,1,2021-05-05
Trump Rally’s in Massachusetts,273409720632974,1,2021-03-22
Love Trump,3503018576441172,1,2021-04-15
Trump Out Cruz In!! America,351278631709439,1,2021-03-23
Donald J Trump Is Not Our President,352751991745010,1,2021-03-23
The ALLSTAR TRUMP TRAIN,353632092147627,1,2021-04-10
Joe Biden will NEVER be like Trump,3565166473579374,1,2021-03-22
No More Trump,345427633109569,1,2021-03-22
Fans of Trump for President,531853246939364,1,2021-03-22
Daily Trump Memes Group,510624306454449,1,2021-03-17
Donald Trump America's President,511818002508380,1,2021-04-27
DUMP TRUMP 2016,1734023406826900,1,2021-03-22
Americans for Trump - Trump Fans,1739146273073954,1,2021-03-22
Oklahoma Trump Pence  Congressional District 1  2020,1743295306000439,1,2021-03-23
I SUPPORT PRESIDENT DONALD TRUMP,175811756135204,1,2021-03-30
stand up for trump,1704179463188869,1,2021-04-09
TRUMP 2020,1716633791929333,1,2021-03-22
Friends Who Like Donald J. Trump,1732346257009674,1,2021-04-07
Friends Who Like Donald J. Trump,653275648188127,1,2021-03-30
Trump Strong,658535798139280,1,2021-03-22
"SEN MIKE BRAUN of INDIANA, NUMBER  # ONE TRUMP PARTISAN IN US SENATE",659198828199236,1,2021-05-08
Anti-Trump #FlushTheTurdOnNovember3rd,383976665660799,1,2021-03-18
DONALD TRUMP PRAYER TEAM,390264495135975,1,2021-04-08
Hội Những Người Ủng Hộ TT Donald Trump Quay Trở Lại,389867062302205,1,2021-02-20
President Trump 2020,235915983413916,1,2021-03-22
Brexiteers for Trump        ( 🇬🇧 🤝 🇺🇸 ),3615826251802934,1,2021-05-31
Help! Someone I love supports Trump,364686931255579,1,2021-03-22
Trump Resurrection 2024,364812018123220,1,2021-04-04
We The People For Trump 2020,366357497967983,1,2021-03-23
PLEASE UNFRIEND ME IF YOU VOTED TRUMP,690881574879406,1,2021-03-23
TRUMP ~ The Next Four Years (Back Up),704158413482568,1,2021-05-24
WE SUPPORT PRESIDENT TRUMP,708277752948719,1,2021-05-30
No.1 Memes Trump,680159655835468,1,2021-03-30
Liberals for Trump,685852755555313,1,2021-03-22
Trump 2020,237114277528382,1,2021-03-22
Trump ★☆☆☆☆ would not recommend,257936742522630,1,2021-03-24
President Donald Trump,438523782984014,1,2021-05-16
Kiwis Debunking/Mocking Trump GOPQ Conservatism,254169354914935,1,2021-04-16
Donald Trump Fans,260983174425295,1,2021-04-27
against trump,261311855074125,1,2021-03-22
Trump Support 2020,261389575035540,1,2021-03-24
Team Trump Supporters,249698829868738,1,2021-05-19
Trump Neighborhood Protests - Sat. @ Noon Local Time,410047399528200,1,2021-03-17
Trumpers,411914529490442,1,2021-05-29
Villains Against Trump,402796780055126,1,2021-03-23
Trumplicans President Trump Still my President,404240227452424,1,2021-03-21
